label,text,augmented_text
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership of core businesses and strengthen Eesti Telekom's offering to its customers.
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston (CFSB) have increased the fair value of the shares of four of the largest Nordic forestry groups."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","A contract for 7,200 tons of gasoline for delivery at the Hamina terminal, Finland, has been signed with Neste Oil OYj at the average Platts index for this September plus eight dollars per month."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",The operating result of the Finnish Talentum Group increased from 9.3 mill. Euro in 2004 to 20.5 mill. Euro in 2005 and net sales from 96.4 mill. Euro to 103.3 mill. Euro.
positive,"Clothing retail chain Sepp+Ã†l+?'s sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","The turnover of the clothing retail chain Sepp + Ã†l +? increased by 8% to 155.2 million euros, and the operating profit rose from 17.1 million euros in 2004 to 31.1 million euros."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Consolidated net sales rose by 16% to 74.8 million euros, and the operating result amounted to 0.9 million euros after a loss of 0.7 million euros in the same period of the previous year."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","Sales of the Foundries division rose by 9.7% to 63.1 million euros from 57.5 million euros in the corresponding period of the previous year, and sales of the Mechanical Engineering division rose by 16.4% to 41.2 million euros from 35.4 million euros in the corresponding period of the previous year."
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - Shares closed higher, led by Nokia after it announced plans to merge with Sanyo to manufacture 3G handsets, and by Nokian Tyres after its fourth-quarter earnings report beat analysts' expectations, traders said."
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, a subsidiary of the Finnish Incap Corporation, plans to double its turnover by 2007-2008."
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","The Board of Directors will propose a dividend of EUR 0.12 per share for 2010, compared to EUR 0.08 per share in 2009."
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 and its turnover has grown by an average of 40%, with margins in the late 1930s."
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Filippova) A trilateral agreement on investment in the construction of a technology park in St. Petersburg should be signed at the ""Days of the Russian Economy"" forum, which opened today in Helsinki."
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","MegaFon's customer base increased 16.1% to 50.5 million users as of December 31, 2009, while TeliaSonera estimates that MegaFon's market share was 24% at the end of 2009, compared to 23% at the end of 2008."
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","The net profit from life insurance doubled from EUR 3.2 million to EUR 6.8 million, and the net profit from non-life insurance rose from EUR 1.5 million in the corresponding period of 2009 to EUR 5.2 million."
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"Net sales rose from 179.9 million euros to 193.3 million euros and pre-tax profit rose by 34.2% to 43 million euros (1 euro = 1, 4 USD)."
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Net revenues increased by 18.5% to 167.8 million euros. Teleste stated that 20.4 million euros, or 12.2% of revenues, came from the acquisitions made in 2009."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"In 2010, the operating profit of the Nordea Group rose by 18 percent year-on-year to 3.64 billion euros and total sales by 3 percent to 9.33 billion euros."
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","The EBIT increased in the nine-month comparison from 13.6 million Euros to 394.7 million Euros, sales from 394.7 million Euros."
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","The EBIT increased in the nine-month comparison from 3 million Euros to 61, 5 million Euros and sales of 61, 5 million Euros."
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",Operating profit rose in the three-month comparison of 1.2 million euros and sales of 20.2 million euros compared to the corresponding period of the previous year.
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","The Brazilian unit of the Finnish security solutions provider F-Secure gained 1,500 new customers last year, the online news source Reseller Web quoted the commercial director of the division, Vladimir Brand + _ o."
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","The net profit of the company rose in 2005 by 11.4% to 82.2 million euros on sales of 686.5 million euros, 13.8% more than in the previous year, the company previously announced."
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market amounted to 14.41 million litres in January, an increase of 0.8 percent compared to the previous year, the Lithuanian Brewers Association said, citing the results of its members."
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","Viking Line's freight revenues increased by 5.4% to 21.46 million euros, and cargo volumes increased by 2.4% to 70,116 cargo units."
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","As a result of the Kapiteeli acquisition, the fair value of the real estate portfolio doubled to a total of EUR 2,686.2 1,259.7 million."
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"February 10, 2011 - The Finnish media company Sanoma Oyj HEL: SAA1V announced yesterday that net profit in 2010 almost tripled from â‚?07.3 million in 2009 to â‚?97.3 million and announced a proposal for an increased distribution."
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","A Helsinki: ELIiV today reported EPS of 1.13 EURO for 2009, up from EPS of 1.12 EURO in 2008."
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","Aspo Plc STOCK EXCHANGE RELEASE February 11, 2011 at 8.45 am ESL Shipping Ltd., part of the Aspo Group, has signed a new long-term contract with Rautaruukki Corporation for the transport of raw materials by sea in the Baltic Sea."
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",Commission income rose by 22% to 4.4 million euros and the loan volume by 13.5%.
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","In January, traffic, measured in RPK passenger kilometres, increased by 3.2% and capacity, measured in available seat kilometres, by 12.2%."
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","From January to September 2010, Fiskars ""net profit increased by 14% year-on-year to 65.4 million euros and net revenues from 487.7 million euros to 525.3 million euros."
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","The net profit from life insurance rose from 14.0 million euros to 16.5 million euros, while the net profit from non-life insurance rose from 15.2 million euros in 2009 to 22.6 million euros."
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has also agreed to supply Talvivaara with up to 150,000 tonnes of sulfuric acid per year for the leaching process of Talvivaara during the delivery time of the zinc concentrate."
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Sales in both the department store division and Hobby Hall rose 7%, while sales at clothing subsidiary Seppala fell 4%."
positive,Sales have risen in other export markets .,Sales have risen in other export markets.
positive,Sales increased due to growing market rates and increased operations .,Sales increased due to rising market prices and increased business activity.
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,The agreement strengthens our long-term partnership with Nokia Siemens Networks.
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was signed with Biohit Healthcare Ltd., the UK-based subsidiary of Biohit Oyj, a Finnish listed company that develops, manufactures and distributes liquid handling products and diagnostic test systems."
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,The company also assumes that the investments already made in 2010 will lead to an increase in sales of 141.7 million euros compared to 2009.
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","At September 30, 2007, the company's order backlog amounted to Euro 1.5 billion, an increase of 24.2 percent over the previous year, with international orders totaling Euro 365 million."
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","The company said that paper demand had increased in all of its main markets, including publication papers, and that it had increased average paper prices by 4 percent year-on-year."
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","The world's second-largest stainless steel producer said net income rose to $603 million, or $3.33 per share, in the three months to December 31 from $172 million, or $0.94 per share, a year earlier."
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","As part of the partnership, Nokia Siemens Networks has signed a first framework purchase agreement with Sitronics subsidiary JSC Mikron, which is the largest manufacturer and exporter of microelectronic components in Russia."
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Seppala's sales increased by 0.2% to 10.1 million euros. In Finland, sales fell by 2.4% to 6.8 million euros, while sales abroad rose by 6.2% to 3.3 million euros. Sales increased in all the Baltic countries as well as in Russia and Ukraine."
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Shares in Standard Chartered (STAN) rose 1.2% in the FTSE 100, while shares in Royal Bank of Scotland (RBS) rose 2% and Barclays shares (BARC) (BCS) rose 1.7%."
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,Shares of Nokia Corp rose on Thursday after the handset maker said its third-quarter profit nearly doubled and its share of the global mobile phone market rose.
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","In its financial report published on Friday, SEB said that its net profit in 2010 rose to SEK 6.745 billion from SEK 1.114 billion in the previous year and proposed a 50% increase in the dividend to SEK 1.50 per share."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"Sales of the department store division increased by 15%, those of the apparel subsidiary Seppala by 8%. Sales of Hobby Hall decreased by 12%."
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","On behalf of the newspapers of the Finnish media company Alma Media, Jari Kaivo-oja, head of research at the Finland Futures Research Centre of the Turku School of Economics, drew up a future scenario for the Finnish economy using a model developed by the University of Denver."
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","In Sweden, Gallerix sales denominated in SEK fell by 1% and euro sales by 11%."
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,The company supports its global customers in the development of new technologies and offers a fast path from product development through applications to series production.
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","Once this investment is made, Atria plans to expand into the Moscow market."
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","""The new contract is a continuation of the contract signed earlier this year with Lemminkainen Group, under which Cramo acquired the entire fleet of construction machinery from Lemminkainen Talo Oy Ita - yes Pohjois Suomo and signed a similar contract,"" said Tatu Hauhio, Managing Director of Cramo Finland."
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","Initially, the contract provided for the construction of three ferries with an option for two additional units, which were confirmed for a total value of EUR 500 million."
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","In June, it sold a 30 percent stake in Nordstjernan, and the investment group has now taken the option to acquire the remaining shares of EQT."
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 at 09: 30 1 (1) Kesko Corporation and Aspo plc today signed an agreement by which Aspo will acquire the share capital of Kauko-Telko Ltd., a wholly owned subsidiary of Kesko."
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Sponda Plc Stock Exchange Release December 5, 2006 for EUR 15.45 1.5 billion SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed a one-year syndicated credit facility for a total of EUR 1.5 billion."
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,"STOCK Exchange Announcement July 20, 2006 1 (1) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTIES AND CAPITAL INCREASE A total of 119,850 shares were subscribed under the BasWare Warrant Program."
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","The contract includes the HDO platform, the AC800 and CXE880 optical Fttb nodes, which are designed to increase the forward and return capacity of the transmission networks."
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,The new power plant will have an electricity generation capacity of up to 350 megawatts (MW) and the same heat generation capacity.
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","The OMX Helsinki 25 Index rose 0.92% to 2,518.67 points and the Helsinki CAP Portfolio Index rose 0.91% to 4,711.19 points."
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .","- Car sales growth therefore has a significant impact on the tyre market. """
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .","A maximum of 666,104 new shares may be subscribed under the 2004 Stock Option Plan by exercising B options."
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","The issue of the shares increases the number of shares in the company by 391,630 and the share capital by a total of 15,665.20 euros."
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","Finnish real estate investor Sponda Plc announced on Wednesday 12 March that it has signed contracts with Danske Bank A-S, Helsinki Branch, for a EUR 150 million 7-year credit facility and Ilmarinen Mutual Pension Insurance Company for a EUR 50 million 7-year credit facility."
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","On the route between Helsinki in Finland and Tallinn in Estonia, cargo volume increased by 36%, while cargo volume between Finland and Sweden decreased by 9%."
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Other measures included increasing synergies and economies of scale within the Grimaldi Group as well as personnel adjustments, divestments and the reduction of excess tonnage."
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Rinkuskiai increased sales by 18.1 percent to 1.37 million liters, while Kauno Alus grew by 14.3 percent to 960,000 liters."
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc announced on Friday 7 April that it has signed an agreement to sell its stake in Morning Digital Design Oy to Edita Oyj.
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc announced on Friday 7 April that it has signed an agreement to sell its stake in Morning Digital Design Oy to Edita Oyj.
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","The 718,430 new Series A shares will be traded together with the old Series A shares on the Main List of the Helsinki Stock Exchange on July 3, 2006."
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,The fuel supply contracts were signed with a delivery period of three months from September to November.
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,Tiimari operates 194 stores in six countries - including its core Finnish market - and had a turnover of â‚?6.5 million in 2005.
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"Under this agreement, Biohit will become a key supplier of pipettes and disposable pipette tips to VWR customers across Europe."
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","The combination of all services enables us to offer a complex and strengthened service chain that is not only limited to connections to the Baltic ports, but also provides access to the global Grimaldi network in the Mediterranean, Africa and North America, ""says Uwe Bakosch."
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,No blind spots from a vantage point allow investigators to see the whole story in high resolution and without gapless video.
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","The company continues to expect its revenue in 2010 to rise slightly above 2009 levels, adding that ""market predictability is still too low to provide reliable forecasts of the market development of the contract manufacturing business in the current year."""
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,The acquisition will significantly increase Kemira's turnover and market position in the coatings market in the Russian metal industry.
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","From January to September 2007, Finnlines ""net revenues increased from EUR 473.5 million in the corresponding period of 2006 to EUR 505.4 million."
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Adjusted for changes in the group structure, the division's net sales increased by 1.7%."
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","""The change will optimize the operational efficiency of our growing business,"" said Julia Prohaska, head of marketing communications at Fiskars."
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .","""They would not only invest in physical infrastructure, but also provide know-how for the management and development of science and technology parks,"" said Sunrise Valley Director Andrius Bagdonas."
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .","February 4, 2011 - The Finnish broadband data communications system provider Teleste Oyj HEL: TLT1V increased its net profit in the last quarter of 2010 from 995,000 euros in the same period of 2009 to 2.1 million euros."
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,The operating profit of the Finnish Aktia Group rose from EUR 8.2 million in the first quarter of 2009 to EUR 17.5 million in the first quarter of 2010.
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,The consolidated net operating income of the Finnish Bank of + _ land increased from EUR 4.8 million in the first quarter of 2005 to EUR 6.4 million in the first quarter of 2006.
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","The Finnish financial group Aktia reported an operating profit of â‚?4.4 million from January to September 2009, compared with â‚?7.3 million in the corresponding period of 2008."
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .","The Finnish high-tech provider Vaahto Group reported net sales of EUR 41.8 million in the reporting period from September 2007 to February 2008, an increase of 11.2% compared to the previous year."
positive,Net sales of Finnish food industry company L+Ã†nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,The net turnover of the Finnish food company L + Ã†nnen Tehtaat increased in 2008 by 13% to 349.1 million euros from 309.6 million euros in 2007.
positive,An individual promotion also generated slightly higher-than-expected revenues .,Individual promotion also generated slightly higher revenue than expected.
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,"Biohit already serves many current Genesis customers, and the customer base is expected to grow as a result of this agreement."
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",Both the operating result and sales increased in the three-month comparison of 0.9 million euros and 8.3 million euros respectively.
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation revenues increased by 5% in Finland and 4% in Sweden in 2008.
positive,Clothing chain Sepp+Ã†l+?'s net sales increased by 7.0 % to EUR 30.8 mn .,Net sales of the Sepp + Ã†l +? clothing chain rose by 7.0% to 30.8 million euros.
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,Construction volume is now growing by 10-15 percent annually.
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,Finnish and Swedish home improvement markets are still expected to grow at an annual rate of 4% in 2008.
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .","Biohit assumes, however, that total sales will continue to grow in 2009 and that favorable trends in net sales will lead to a profit in 2009."
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .","Fiskars ""cash flow from operating activities amounted to EUR 121 million in 2009, compared to EUR 97 million in the previous year."
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .","In Lithuania, operating profit rose from 70,000 euros in the corresponding period in 2005 to 190,000 euros."
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .","In the fourth quarter of 2008, net sales increased by 2% to Euro 1,050.7 million from Euro 1,027.0 million in the fourth quarter of 2007."
